#,target,auid,jd,mag,uncertainty,fainterthan,band,type,observer,airmass,transformed
1084,R SCT,000-BCD-304,2460571.12650,6.989,0.003,False,Johnson B,CCD,MSD,1.899,True
1085,R SCT,000-BCD-304,2460571.12793,5.549,0.003,False,Johnson V,CCD,MSD,1.917,True
1086,R SCT,000-BCD-304,2460572.59561,7.004,0.003,False,Johnson B,CCD,MSD,1.246,True
1087,R SCT,000-BCD-304,2460572.59778,5.601,0.003,False,Johnson V,CCD,MSD,1.247,True
1088,R SCT,000-BCD-304,2460579.63647,6.972,0.003,False,Johnson B,CCD,MSD,1.413,True
1089,R SCT,000-BCD-304,2460579.63854,5.614,0.003,False,Johnson V,CCD,MSD,1.421,True
1090,R SCT,000-BCD-304,2460580.61336,6.945,0.003,False,Johnson B,CCD,MSD,1.328,True
1091,R SCT,000-BCD-304,2460580.61556,5.599,0.003,False,Johnson V,CCD,MSD,1.334,True
1092,R SCT,000-BCD-304,2460581.65072,6.965,0.003,False,Johnson B,CCD,MSD,1.535,True
1093,R SCT,000-BCD-304,2460581.65282,5.568,0.003,False,Johnson V,CCD,MSD,1.545,True
1094,R SCT,000-BCD-304,2460582.66421,6.950,0.003,False,Johnson B,CCD,MSD,1.674,True
1095,R SCT,000-BCD-304,2460582.66644,5.594,0.003,False,Johnson V,CCD,MSD,1.687,True
1096,R SCT,000-BCD-304,2460583.61057,6.943,0.003,False,Johnson B,CCD,MSD,1.347,True
1097,R SCT,000-BCD-304,2460583.61270,5.615,0.003,False,Johnson V,CCD,MSD,1.354,True
1098,R SCT,000-BCD-304,2460584.64051,6.953,0.003,False,Johnson B,CCD,MSD,1.519,True
1099,R SCT,000-BCD-304,2460584.64258,5.574,0.003,False,Johnson V,CCD,MSD,1.531,True
1100,R SCT,000-BCD-304,2460585.60863,6.931,0.003,False,Johnson B,CCD,MSD,1.361,True
1101,R SCT,000-BCD-304,2460585.61082,5.561,0.003,False,Johnson V,CCD,MSD,1.368,True
1102,R SCT,000-BCD-304,2460586.63894,6.912,0.003,False,Johnson B,CCD,MSD,1.547,True
1103,R SCT,000-BCD-304,2460586.64106,5.533,0.003,False,Johnson V,CCD,MSD,1.560,True
1104,R SCT,000-BCD-304,2460587.58427,6.882,0.003,False,Johnson B,CCD,MSD,1.299,True
1105,R SCT,000-BCD-304,2460587.58631,5.502,0.003,False,Johnson V,CCD,MSD,1.302,True
1106,R SCT,000-BCD-304,2460588.63600,6.896,0.003,False,Johnson B,CCD,MSD,1.566,True
1107,R SCT,000-BCD-304,2460588.63859,5.504,0.003,False,Johnson V,CCD,MSD,1.581,True
1108,R SCT,000-BCD-304,2460589.60806,6.884,0.003,False,Johnson B,CCD,MSD,1.408,True
1109,R SCT,000-BCD-304,2460589.61015,5.537,0.003,False,Johnson V,CCD,MSD,1.416,True
1110,R SCT,000-BCD-304,2460590.60551,6.891,0.003,False,Johnson B,CCD,MSD,1.409,True
1111,R SCT,000-BCD-304,2460590.60751,5.495,0.003,False,Johnson V,CCD,MSD,1.416,True
1112,R SCT,000-BCD-304,2460594.61346,6.910,0.003,False,Johnson B,CCD,MSD,1.521,True
1113,R SCT,000-BCD-304,2460594.61588,5.493,0.003,False,Johnson V,CCD,MSD,1.533,True
1114,R SCT,000-BCD-304,2460595.57418,6.887,0.003,False,Johnson B,CCD,MSD,1.335,True
1115,R SCT,000-BCD-304,2460595.57612,5.477,0.003,False,Johnson V,CCD,MSD,1.340,True
1116,R SCT,000-BCD-304,2460598.57177,6.937,0.003,False,Johnson B,CCD,MSD,1.356,True
1117,R SCT,000-BCD-304,2460598.57392,5.516,0.003,False,Johnson V,CCD,MSD,1.362,True
1118,R SCT,000-BCD-304,2460599.60794,6.971,0.004,False,Johnson B,CCD,MSD,1.583,True
1119,R SCT,000-BCD-304,2460599.61015,5.532,0.003,False,Johnson V,CCD,MSD,1.597,True
1120,R SCT,000-BCD-304,2460600.58181,7.002,0.004,False,Johnson B,CCD,MSD,1.427,True
1121,R SCT,000-BCD-304,2460600.58399,5.575,0.003,False,Johnson V,CCD,MSD,1.436,True
1122,R SCT,000-BCD-304,2460604.62309,7.143,0.004,False,Johnson B,CCD,MSD,1.898,True
1123,R SCT,000-BCD-304,2460604.62534,5.622,0.003,False,Johnson V,CCD,MSD,1.922,True
1124,R SCT,000-BCD-304,2460605.56690,7.115,0.004,False,Johnson B,CCD,MSD,1.421,True
1125,R SCT,000-BCD-304,2460605.56888,5.609,0.003,False,Johnson V,CCD,MSD,1.428,True
1126,R SCT,000-BCD-304,2460606.56654,7.146,0.004,False,Johnson B,CCD,MSD,1.434,True
1127,R SCT,000-BCD-304,2460606.56872,5.608,0.003,False,Johnson V,CCD,MSD,1.441,True
