jd,time,mag,band,ra,dec,angDist,src_table,time_col_name,time_scale
2451540.0,276.0,16.815,r,69.38212083333332,0.8791730555555555,0.1408622919306868,I/282/cmc12,JD-2451264,JD-2451264.0 -> JD
2451541.0,277.0,16.151,r,69.18646972222221,1.0718297222222222,0.1411417516278984,I/282/cmc12,JD-2451264,JD-2451264.0 -> JD
2451540.0,276.0,14.109,r,69.43552999999999,0.9395347222222221,0.14133822503582524,I/282/cmc12,JD-2451264,JD-2451264.0 -> JD
2451542.0,278.0,15.471,r,69.17400888888888,1.0463713888888888,0.14136618529127504,I/282/cmc12,JD-2451264,JD-2451264.0 -> JD
2451540.0,276.0,16.37,r,69.42102555555554,0.9133358333333332,0.1422179720771751,I/282/cmc12,JD-2451264,JD-2451264.0 -> JD
2451541.0,277.0,15.675,r,69.25435833333333,1.1308572222222222,0.14259150083593805,I/282/cmc12,JD-2451264,JD-2451264.0 -> JD
2451542.0,278.0,15.455,r,69.17022055555555,1.0391175,0.14269398391856675,I/282/cmc12,JD-2451264,JD-2451264.0 -> JD
2451542.0,278.0,16.285,r,69.44969472222222,1.0046438888888887,0.14283066086728874,I/282/cmc12,JD-2451264,JD-2451264.0 -> JD
2451542.0,278.0,13.823,r,69.16738416666665,1.0322127777777776,0.14363015585189137,I/282/cmc12,JD-2451264,JD-2451264.0 -> JD
2451540.0,276.0,15.9,r,69.25463055555555,0.8643663888888887,0.1438249235753854,I/282/cmc12,JD-2451264,JD-2451264.0 -> JD
2451540.0,276.0,14.873,r,69.22409305555554,0.8799205555555555,0.14453028603081794,I/282/cmc12,JD-2451264,JD-2451264.0 -> JD
2451541.0,277.0,17.091,r,69.22145722222221,1.1152799999999998,0.14487859827660582,I/282/cmc12,JD-2451264,JD-2451264.0 -> JD
2451540.0,276.0,16.213,r,69.31631138888888,0.8518283333333332,0.1467961573036586,I/282/cmc12,JD-2451264,JD-2451264.0 -> JD
2451540.0,276.0,12.939,r,69.29420416666666,0.8501891666666666,0.14868855903544964,I/282/cmc12,JD-2451264,JD-2451264.0 -> JD
2451540.0,276.0,13.819,r,69.42433666666666,0.9065141666666665,0.1489901321211681,I/282/cmc12,JD-2451264,JD-2451264.0 -> JD
